"ID","Name","Description","Type","Parent Customer ID","Bill to Parent","Status","Website","Billing Batch","Payment Terms","Currency","Billing Cycle Day","Auto-Pay","Allow Customer to Disable Auto-Pay","Tax Exempt","Account Balance","Price Book ID","Gateway Name","Gateway Account Name","Payment Gateway ID","Billing Contact ID","Shipping Contact ID","ACH Credit Account Number","ACH Credit Routing Number","ACH Credit Bank Name","ACH Credit Swift Code","ACH Payment Enabled","Canadian Pre-Authorized Payment Enabled","ACH Credit Payment Enabled","Credit Card Payment Enabled","Affirm Payment Enabled","Payment Processing Fee Enabled","Portal Status","Last Invoice Date","Contracted MRR","Discounted CMRR","Contracted ARR","Discounted CARR","Print Enabled","Email Enabled","Integration Status","Integration Failed At","Integration Failed At Avalara","Integration Failed At Quickbooks","Created By","Updated By","Created Date","Updated Date","Implementation Budgeted Hours","Project Lead","Project Type","Target Project End Date","Implementation Hours Consumed to Date","Premium Support","Premium Support Hours","CSM","Use Case Notes","Data Cleanup Date","Implementation - Summary","Target Go Live Date","Actual Go Live Date","GL","Last Connect Date","Client Sentiment","Product Issues","Implementation - Lead","Implementation - Kickoff Date","Implementation - Running Notes","Customer Sentiment","Planned Integrations","Target Implementation End Date","Other Risk","PO Number","Date of non-renewal","Sales Rep","quickbooks_id","Renewal Notes","Customer Success - Notes","Implementation - T&M Start Date","Challenges and Opportunities","Stickiness Factor","salesforce_id","Database Location","avalara_entity_use_code","avalara_customer_code","business_identification_num","netsuite_id","Tier","Term Notes","Amount Remaining in Tier","Invoice Usage","Implementation - Project Health","Database ID","Tier Maximum Invoicing Value","Graduation Line Nearing?","Client Status"
"C-00100","Virtual Internship Partners, Ltd","","business","","","Active","","Default","Net 10","USD","3rd Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00233","CT-00233","","","","","Yes","No","No","No","No","No","","2025-07-04","2200.00","2000.00","26400.00","24000.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2021-11-24 19:19:50 UTC","2025-07-30 16:14:17 UTC","0","","None","","0","No","0","","","","","","","Xero","","1 Green","","Neil Pritchard","2022-01-10","Live but Ordway Tracks invoice FX based on current rate and subscription revenue on subscription defined rate. Mismatch for non base currency balances in deferred revenue. Reporting and manual journals are the current workaround but Client is not happy about this. 1 issue remains around refunds for Ordway to XERO but the workaround is to handle them manually.
Ordway Tracks invoice FX based on current rate and subscription revenue on subscription defined rate. Mismatch for non base currency balances in deferred revenue. Reporting and manual journals are only workaround so far. Client not happy about this.","Satisfaction Risk","","2022-03-31","","","","Renewal","407","","","2022-04-01","","","","US","","C-00100","","","Tier 1","","5000000.00","0.00","Green","","5000000.00","","Live - Support"
"C-00101","Go Evo","-","business","","","Active","","Default","Net 10","USD","10th Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00234","CT-00234","","","","","Yes","No","No","No","No","No","","2025-03-13","0.00","0.00","0.00","0.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2021-11-29 16:06:32 UTC","2025-07-30 16:14:17 UTC","0","","None","","0","No","0","","","","","","","","","1 Green","","Matt Davison","2022-01-13","Go Evo is live with billing out of Ordway as well as integration with Salesforce.","Satisfied","Salesforce","2022-05-06","Client hasn't responded to repeated outreach for late payment (3/4/25)","","","Renewal","409","","","2022-04-13","","","","US","","C-00101","","","Tier 1","","5000000.00","0.00","Green","","5000000.00","","Live - Support"
"C-00102","Laika","","business","","","Active","","Default","Net 10","USD","10th Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00242","CT-00242","","","","","Yes","No","No","No","No","No","","2023-03-06","0.00","0.00","0.00","0.00","Yes","Yes","failed","2025-07-30 15:52:03 UTC","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2021-12-10 22:05:27 UTC","2025-07-30 16:14:18 UTC","0","","","","0","No","0","","","","","","","QBO","","","","","2022-11-01","","","","","","","Customer Not A Good Fit","Renewal","411","","","","","","","US","","C-00102","","","Tier 1","","5000000.00","0.00","Green","","5000000.00","","Churned before go live"
"C-00103","Rosslyn Data Technologies","-","business","","","Active","","Default","Net 10","USD","24th Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00243","CT-00243","","","","","Yes","No","No","No","No","No","","2021-12-15","0.00","0.00","0.00","0.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2021-12-15 19:33:32 UTC","2025-07-30 16:14:18 UTC","0","","","","0","No","0","","","","","","","","","","","Nicholas Caligaris","","","","","","","","Churned Before Go-Live","Renewal","412","","","","","","","","","C-00103","","","Tier 2","","10000000.00","0.00","Green","","10000000.00","","Churned before go live"
"C-00104","GoCheck Kids","","business","","","Active","","Default","Net 10","USD","10th Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","cus_KmeYC9lMd6KeHG","CT-00245","CT-00245","","","","","Yes","No","No","No","No","No","","2025-02-08","3525.00","3525.00","42300.00","42300.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2021-12-15 20:56:09 UTC","2025-07-30 16:14:18 UTC","0","","None","","0","No","0","","","","","","","QBO","","1 Green","","","2022-01-18","Customer has been live since 5/6. Preparing to do their June bill run in the coming days, and is officially transferring to support as of 6/3.
- Noticed post go-live that they incorrectly setup CR/DB accounts for their products in the beginning. They are currently in the process of fixing that, then we will import the changes into production. - There are still a few customers that Rick missed the first time that have incorrect revenue recognition. We've narrowed it down to an issue in which the RSL's extend passed the rev rec end date. Vijay is working to determine how many customers have revenue lines after their end dates. We will then work to correct it.","Satisfied","","2022-05-11","","","","Renewal","413","","They are doing manual DR reconciliation because DR waterfall report doesn't account of late invoices, credits, etc.","2022-05-01","","","","","","C-00104","","","Tier 1","","5000000.00","0.00","Green","","5000000.00","","Live - Support"
"C-00105","Latchel","","business","","","Active","","Default","Net 10","USD","17th Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00246","CT-00246","","","","","Yes","No","No","No","No","No","","2023-03-18","0.00","0.00","0.00","0.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2021-12-16 02:40:35 UTC","2025-07-30 16:14:19 UTC","0","","None","","0","No","0","","","","","","2022-03-31","","","4 Red","","Todd Goldfarb","2022-01-17","No issues","Satisfied","","2022-03-31","Gave notice to not renew","","","Renewal","414","","7/12/22 - MaxR met with Latchel. Disbled auto-payment runs (they didn't want them on). Educated them on ""bill to parent"" functionality, and discussed reporting questions.","2022-05-01","","","","","","C-00105","","","Tier 1","","5000000.00","0.00","Green","","5000000.00","","Churning"
"C-00106","MarkLogic","-","business","","","Active","","Default","Net 45","USD","24th Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00247","CT-00247","","","","","Yes","No","No","No","No","No","","2023-01-27","0.00","0.00","0.00","0.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2021-12-21 21:35:07 UTC","2025-07-30 16:14:19 UTC","0","","","","0","No","0","","","","","","2023-02-28","NetSuite","","1 Green","","Neil Pritchard","2022-01-24","","Business Risk","","2023-02-28","They were acquired and are being moved to their internal system.","","","Renewal","415","","","","","","","","","C-00106","","","","","125000000.00","0.00","Yellow","","125000000.00","","Churned"
"C-00107","ZestFinance, Inc.","-","business","","","Active","","Default","Net 10","USD","1st Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00249","CT-00249","","","","","Yes","No","No","No","No","No","","2024-05-02","0.00","0.00","0.00","0.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2021-12-22 23:26:20 UTC","2025-07-30 16:14:20 UTC","0","","","","0","No","0","","","","","","","Intacct","","","","","2021-01-31","","Satisfaction Risk","","","Ordway implemented new revenue recognition functionality to support their use case but they don't want to continue the project.","","Will churn","Renewal","416","","","","","","","","","C-00107","","","Tier 3","","20000000.00","0.00","Green","","20000000.00","","Churned before go live"
"C-00108","YCharts","-","business","","","Active","","Default","Net 10","USD","1st Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00251","CT-00251","","","","","Yes","No","No","No","No","No","","2024-12-02","4400.00","4400.00","52800.00","52800.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2021-12-30 22:13:46 UTC","2025-07-30 16:14:20 UTC","0","","None","","0","No","0","","","","","","","Intacct","2023-11-30","1 Green","","Hemant Malbari","2022-11-14","The client is live.","Satisfied","","2023-03-31","","","","Renewal","420","","","2023-03-31","They want a regular OOTB report to show RSL BSL mismatch","","","","","C-00108","","","Tier 3","","20000000.00","0.00","Green","","20000000.00","","Live - Support"
"C-00109","Solugenix Corporation","","business","","","Active","","Default","Net 10","USD","15th Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00253","CT-00253","","","","","Yes","No","No","No","No","No","","2023-03-16","0.00","0.00","0.00","0.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2022-01-09 19:02:57 UTC","2025-07-30 16:14:20 UTC","0","","","","0","No","0","","","","","","2022-05-23","QBO","","","","Nicholas Caligaris","2022-02-02","They are ""live"" and we completed implementation ahead of schedule. Post-implementation, the client is looking for a Sage integration that supports ""dimensions"" when syncing journal entries from Ordway.
They are ""live"", but Steve is upset about the Sage integration. Right now, we are exporting journal entries to add the required dimensions, but he is unhappy with this process. As a CS item, this needs to be addressed as a product enhancement.","Satisfaction Risk","","2022-05-23","Sold a fully operational intacct integration, and our gaps were a nonstarter.11/1/22 Offered to build needed functionality and extend the contract but they changed how they invoice their customer so they don't need ordwy anymore","","4/14/24","Renewal","423","","From client on 10/29/22 - We discontinued use of the tool. We were sold a tool that is ?integrated? with our financial software. The reality is much different that the sales pitch. Sage Intacct is a dimensional based platform. Ordway was integrated through an API, but does not understand Intacct?s dimensions, and therefore could not post back any useful data.","2022-06-01","","","","","","C-00109","","","Tier 1","","5000000.00","0.00","Yellow","","5000000.00","","Churned before go live"
"C-00110","SmartEquip","-","business","","","Active","","Default","Net 30","USD","1st Day Of The Month","No","Yes","No","60000.00","","Stripe","Stripe","cus_SlsCYjERvi6pnN","CT-00256","CT-00256","","","","","Yes","No","No","No","No","No","","2025-07-19","7125.00","7125.00","85500.00","85500.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2022-01-21 19:03:11 UTC","2025-07-30 16:14:21 UTC","0","","None","","0","No","0","","","","","","","QBO","","1 Green","","Vijay Venkatesh","2022-05-15","","Satisfaction Risk","","2023-01-01","","","","Renewal","424","","","2022-07-01","They have all of their revenue in ordway now so aren't tracking anything separately anymore","","","","","C-00110","","","Tier 3","","20000000.00","0.00","Yellow","","20000000.00","","Live - Support"
"C-00111","OrgChart (Officeworks)","Previously Officeworks Solutions","business","","","Active","","Default","Net 10","USD","15th Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","cus_L9cysn7MkW2N57","CT-00258","CT-00258","","","","","Yes","No","No","No","No","No","","2025-02-13","5700.00","5700.00","68400.00","68400.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2022-01-28 22:03:42 UTC","2025-07-30 16:14:21 UTC","0","Max/ Sneha","None","2024-08-30","0","No","0","","","","","","","QBO","","2 Yellow","","Nicholas Caligaris","2022-02-28","","Satisfied but with Handholding","","2022-05-23","Working with their team to iron out issues with reporting and how subs were initially set up.","","","Renewal","425","","","2022-05-31","They want to add some segmentation data but are doing data cleanup before we can import the data (we are waiting on them to provide this data, which will likely just be a custom field on the customer)

SG helping them with revenue.

ASKED TO KEEP CLASSIC ENABLED TILL APRIL 30 FOR AUDIT","","","","","C-00111","","","Tier 2","","10000000.00","0.00","Green","","10000000.00","","Live - Support"
"C-00112","Beacon","","business","","","Active","","Default","Net 10","USD","1st Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","cus_SK17OzYMlsujrv","CT-00259","CT-00259","","","","","Yes","No","No","No","No","No","","2025-04-25","9400.00","9400.00","112800.00","112800.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2022-01-29 16:55:17 UTC","2025-07-30 16:14:22 UTC","0","Alex","Upcoming Project","","0","No","0","","","","","","","Intacct","","1 Green","","Vijay Venkatesh","2022-05-07","We have cleaned up the majority of their issues/blockers and we have validated November parallel run. We are very close to being live.","Satisfied but with Handholding","","2023-01-31","","","","Renewal","426","","9/22/22 - MaxR/SG met with Austin to gauge sentiment and still a little rocky but we will be going live in the next week or 2. We should check in and see how they feel at that point.","2022-07-01","Austin moved to a different dept (Cecily is new person). 

Potentially going to integrate with SFDC but are waiting on their timeline","","","","","C-00112","","","Tier 5","","40000000.00","0.00","Yellow","","40000000.00","","Live - Support"
"C-00113","Accern Corporation","","business","","","Active","","Default","Net 10","USD","1st Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00263","CT-00263","","","","","Yes","No","No","No","No","No","","2023-04-02","0.00","0.00","0.00","0.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2022-02-23 19:56:28 UTC","2025-07-30 16:14:22 UTC","0","","","","0","No","0","","","","","","","QBO","","","","","","","","","","","","","Renewal","427","","","","","","","","","C-00113","","","","","0.00","0.00","Green","","0.00","","Churned before go live"
"C-00114","Postman","","business","","","Active","","Default","Net 30","USD","1st Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00265","CT-00265","","","","","Yes","No","No","No","No","No","","2022-08-18","0.00","0.00","0.00","0.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2022-02-23 23:41:11 UTC","2025-07-30 16:14:22 UTC","0","","","","0","No","0","","","","","","","NetSuite","","","","","","","","","","","","","Renewal","428","","","","","","","","","C-00114","","","","","0.00","0.00","Green","","0.00","","Churned before go live"
"C-00115","CaliberMind","","business","","","Active","","Default","Net 10","USD","1st Day Of The Month","No","Yes","No","7050.00","","Stripe","Stripe","","CT-00266","CT-00266","","","","","Yes","No","No","No","No","No","","2025-08-02","2350.00","2350.00","28200.00","28200.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2022-02-24 22:08:24 UTC","2025-07-30 16:14:23 UTC","0","","None","","0","No","0","","","","","","","QBO","","1 Green","","Nicholas Caligaris","2022-04-07","They will want SFDC at some point in the future. I have provided them with ZenDesk articles and have preached to them about how SFDC<>Ordway is more than just an integration, it's a process that has to be cultivated from top to bottom.","Satisfied","","2022-05-17","","","","Renewal","430","","","2022-05-31","","","","","","C-00115","","","","","5000000.00","0.00","Green","","5000000.00","","Live - Support"
"C-00116","Supply Wisdom","-","business","","","Active","","Default","Net 10","USD","2nd Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","cus_LbLPLlgsmAjRuD","CT-00268","CT-00268","","","","","Yes","No","No","No","No","No","","2023-04-02","0.00","0.00","0.00","0.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2022-03-17 12:39:45 UTC","2025-07-30 16:14:23 UTC","0","","","","0","No","0","","","","","","2023-06-01","QBO","","","","","2022-05-24","Max Mondelo had been the lead.<br />
We had made progress with use case solutioning but the client wanted to pause the project due to a lack of volume and an SFDC project. Client indicated in December 22' that they currently don't have enough volume to warrant Ordway so we will reach out in a few months. I don?t think we?ll be utilizing Ordway for the time being. We simply don?t have the billing volume or complexity to warrant it.","Business Risk","","2023-06-01","","","","Renewal","436","","12/10/22 - ""Hi Max ? thanks for reaching out ? I don?t think we?ll be utilizing Ordway for the time being. We simply don?t have the billing volume or complexity to warrant it.""","2022-07-31","","","","","","C-00116","","","","","0.00","0.00","Red","","0.00","","Churned before go live"
